,Date,Revenue,Orders,AOV,Product_id
943,2023-07-01,205.84199999999998,18,11.435666666666666,12
944,2023-07-01,3487.288,218,15.996733944954128,13
945,2023-07-01,31.177999999999997,21,1.4846666666666666,6
946,2023-07-01,745.5980000000001,6,124.26633333333335,7
947,2023-07-01,0.0,0,,8
948,2023-07-01,55.41199999999999,10,5.541199999999999,14
949,2023-07-01,145.32,90,1.6146666666666667,16
950,2023-07-01,1503.292,113,13.303469026548672,18
951,2023-07-02,0.0,178,0.0,
952,2023-07-02,0.0,0,,1
953,2023-07-02,0.0,0,,2
954,2023-07-02,56.728,6,9.454666666666666,9
955,2023-07-02,2966.8799999999997,174,17.05103448275862,10
956,2023-07-02,2357.3059999999996,85,27.73301176470588,11
957,2023-07-02,117.922,7,16.846,12
958,2023-07-02,3212.622,200,16.063109999999998,13
959,2023-07-02,0.0,0,,4
960,2023-07-02,93.73,25,3.7492,6
961,2023-07-02,0.0,0,,7
962,2023-07-02,0.0,0,,8
963,2023-07-02,23.604,4,5.901,14
964,2023-07-02,313.53,113,2.774601769911504,16
965,2023-07-02,1264.424,95,13.309726315789474,18
966,2023-07-03,0.0,164,0.0,
967,2023-07-03,0.0,0,,1
968,2023-07-03,0.0,0,,2
969,2023-07-03,70.91,7,10.129999999999999,9
970,2023-07-03,3646.4679999999994,204,17.8748431372549,10
971,2023-07-03,2681.4339999999997,104,25.783019230769227,11
972,2023-07-03,156.254,11,14.20490909090909,12
973,2023-07-03,2888.2980000000002,164,17.61157317073171,13
974,2023-07-03,0.0,0,,4
975,2023-07-03,0.0,0,,5
976,2023-07-03,153.664,70,2.1952,6
977,2023-07-03,1019.2419999999998,8,127.40524999999998,7
978,2023-07-03,0.0,0,,8
979,2023-07-03,47.151999999999994,8,5.893999999999999,14
980,2023-07-03,172.956,118,1.4657288135593218,16
981,2023-07-03,1860.264,141,13.193361702127659,18
982,2023-07-04,0.0,168,0.0,
983,2023-07-04,0.0,0,,1
984,2023-07-04,0.0,0,,2
985,2023-07-04,0.0,0,,3
986,2023-07-04,14.097999999999999,1,14.097999999999999,9
987,2023-07-04,3170.188,193,16.425844559585492,10
988,2023-07-04,2176.104,81,26.865481481481478,11
989,2023-07-04,193.242,15,12.8828,12
990,2023-07-04,2812.348,181,15.537834254143647,13
991,2023-07-04,0.0,0,,4
992,2023-07-04,76.09,21,3.6233333333333335,6
993,2023-07-04,1092.224,7,156.03199999999998,7
994,2023-07-04,0.0,0,,8
995,2023-07-04,15.623999999999999,3,5.207999999999999,14
996,2023-07-04,132.482,88,1.5054772727272727,16
997,2023-07-04,2099.2999999999997,161,13.039130434782606,18
998,2023-07-05,0.0,119,0.0,
999,2023-07-05,0.0,0,,1
1000,2023-07-05,1018.458,3,339.486,2
1001,2023-07-05,0.0,0,,3
1002,2023-07-05,29.19,3,9.73,9
1003,2023-07-05,3225.2079999999996,168,19.197666666666663,10
1004,2023-07-05,2687.524,95,28.289726315789473,11
1005,2023-07-05,164.612,14,11.758,12
1006,2023-07-05,2161.2219999999998,154,14.03390909090909,13
1007,2023-07-05,0.0,0,,4
1008,2023-07-05,126.35,32,3.9484375,6
1009,2023-07-05,1296.456,7,185.208,7
1010,2023-07-05,0.0,0,,8
1011,2023-07-05,54.501999999999995,10,5.4502,14
1012,2023-07-05,0.0,0,,15
1013,2023-07-05,73.14999999999999,91,0.8038461538461538,16
1014,2023-07-05,2064.8039999999996,160,12.905024999999998,18
1015,2023-07-06,0.0,140,0.0,
1016,2023-07-06,0.0,0,,1
1017,2023-07-06,669.956,1,669.956,2
1018,2023-07-06,41.705999999999996,4,10.426499999999999,9
1019,2023-07-06,3506.1739999999995,202,17.357297029702966,10
1020,2023-07-06,2329.194,88,26.468113636363636,11
1021,2023-07-06,231.04199999999997,14,16.502999999999997,12
1022,2023-07-06,2388.2599999999998,148,16.13689189189189,13
1023,2023-07-06,0.0,0,,4
1024,2023-07-06,283.528,49,5.7862857142857145,6
1025,2023-07-06,860.8879999999999,6,143.4813333333333,7
1026,2023-07-06,0.0,0,,8
1027,2023-07-06,22.974,4,5.7435,14
1028,2023-07-06,74.732,88,0.8492272727272727,16
1029,2023-07-06,1954.974,150,13.033159999999999,18
1030,2023-07-07,0.0,127,0.0,
1031,2023-07-07,0.0,0,,1
1032,2023-07-07,0.0,0,,2
1033,2023-07-07,40.824,4,10.206,9
1034,2023-07-07,2465.316,144,17.12025,10
1035,2023-07-07,2083.522,80,26.044024999999998,11
1036,2023-07-07,164.528,15,10.968533333333333,12
1037,2023-07-07,2392.292,150,15.948613333333332,13
1038,2023-07-07,0.0,0,,4
1039,2023-07-07,8.176,3,2.7253333333333334,6
1040,2023-07-07,1096.186,7,156.59799999999998,7
1041,2023-07-07,0.0,0,,8
1042,2023-07-07,30.183999999999997,6,5.030666666666666,14
1043,2023-07-07,103.71199999999999,87,1.1920919540229884,16
1044,2023-07-07,0.0,0,,17
1045,2023-07-07,1693.888,134,12.640955223880596,18
1046,2023-07-08,0.0,158,0.0,
1047,2023-07-08,0.0,0,,1
1048,2023-07-08,0.0,0,,2
1049,2023-07-08,27.552,3,9.184,9
1050,2023-07-08,3254.272,188,17.30995744680851,10
1051,2023-07-08,2310.0,91,25.384615384615383,11
1052,2023-07-08,129.304,11,11.754909090909091,12
1053,2023-07-08,2449.0759999999996,164,14.933390243902437,13
1054,2023-07-08,0.0,0,,4
1055,2023-07-08,99.23199999999999,28,3.5439999999999996,6
1056,2023-07-08,0.0,0,,7
1057,2023-07-08,0.0,0,,8
1058,2023-07-08,45.78,8,5.7225,14
1059,2023-07-08,85.428,92,0.9285652173913043,16
1060,2023-07-08,1267.84,101,12.552871287128712,18
1061,2023-07-09,0.0,137,0.0,
1062,2023-07-09,0.0,0,,1
1063,2023-07-09,0.0,0,,2
1064,2023-07-09,41.37,4,10.3425,9
1065,2023-07-09,3446.562,196,17.5845,10
1066,2023-07-09,2651.096,101,26.248475247524752,11
1067,2023-07-09,47.208,7,6.744,12
1068,2023-07-09,2675.68,176,15.202727272727271,13
1069,2023-07-09,20.229999999999997,1,20.229999999999997,4
1070,2023-07-09,140.81199999999998,39,3.610564102564102,6
1071,2023-07-09,0.0,0,,7
1072,2023-07-09,30.645999999999997,1,30.645999999999997,8
1073,2023-07-09,53.507999999999996,10,5.3508,14
1074,2023-07-09,85.49799999999999,102,0.8382156862745097,16
1075,2023-07-09,1295.0839999999998,101,12.822613861386136,18
1076,2023-07-10,0.0,188,0.0,
1077,2023-07-10,0.0,0,,1
1078,2023-07-10,1159.1019999999999,1,1159.1019999999999,2
1079,2023-07-10,0.33599999999999997,4,0.08399999999999999,3
1080,2023-07-10,96.446,10,9.6446,9
1081,2023-07-10,3375.3019999999997,195,17.309241025641025,10
1082,2023-07-10,2841.062,108,26.306129629629627,11
1083,2023-07-10,167.32799999999997,15,11.155199999999999,12
1084,2023-07-10,3212.538,207,15.519507246376811,13
1085,2023-07-10,0.0,0,,4
1086,2023-07-10,117.81,35,3.366,6
1087,2023-07-10,264.73999999999995,4,66.18499999999999,7
1088,2023-07-10,18.382,1,18.382,8
1089,2023-07-10,30.575999999999997,6,5.095999999999999,14
1090,2023-07-10,130.57799999999997,113,1.1555575221238936,16
1091,2023-07-10,438.39599999999996,1,438.39599999999996,17
1092,2023-07-10,1763.7759999999998,140,12.598399999999998,18
